"@timestamp","_id","_index","_score",env,"env.keyword",level,"level.keyword",message,"message.keyword","metadata.env","metadata.env.keyword","metadata.hostname","metadata.hostname.keyword","metadata.method","metadata.method.keyword","metadata.remoteAddress","metadata.remoteAddress.keyword","metadata.requestId","metadata.requestId.keyword","metadata.responseTime","metadata.service","metadata.service.keyword","metadata.statusCode","metadata.timestamp","metadata.url","metadata.url.keyword",service,"service.keyword"
"Nov 21, 2025 @ 12:03:09.691",o8kdpZoBKNps3ga04fr6,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-83","req-83","1,319.982","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:03:09.691","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:09.369",pMkdpZoBKNps3ga04fr6,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-85","req-85","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:09.368","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:08.377",pckdpZoBKNps3ga04fr6,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-84","req-84","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:08.376","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:03:08.371",n8kdpZoBKNps3ga02voa,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-83","req-83","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:03:08.371","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:02:59.650",mskdpZoBKNps3ga0uvrn,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-82","req-82","720.325","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:02:59.650","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:02:59.051",m8kdpZoBKNps3ga0uvrn,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-81","req-81","683.532","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:02:59.050","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:02:58.930",nMkdpZoBKNps3ga0uvrn,"app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-82","req-82","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:02:58.930","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:02:58.927",nckdpZoBKNps3ga0uvrn,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-80","req-80","737.416","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:02:58.927","/api/notifications/unread-count","/api/notifications/unread-count","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:02:58.528",nskdpZoBKNps3ga0uvrn,"app-logs-2025.11.21","-",development,development,info,info,"Request completed","Request completed",development,development,"-","-",GET,GET,"-","-","req-7z","req-7z","1,058.354","wrapper-backend","wrapper-backend",200,"Nov 21, 2025 @ 12:02:58.527","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
"Nov 21, 2025 @ 12:02:58.367","lMkdpZoBKNps3ga0s_oN","app-logs-2025.11.21","-",development,development,info,info,"Incoming request","Incoming request",development,development,"localhost:3000","localhost:3000",GET,GET,"127.0.0.1","127.0.0.1","req-81","req-81","-","wrapper-backend","wrapper-backend","-","Nov 21, 2025 @ 12:02:58.367","/api/notifications?","/api/notifications?","wrapper-backend","wrapper-backend"
